FromId;FromScientificName;ToId;ToScientificName;TransferSpeciesStatus;TransferSpeciesCharacteristics;TransferPathways;ReadyToTransfer
2625;Pinus mugo uncinata;2616;Pinus mugo;true;true;true;true
744;Larix kaempferi;745;Larix ×marschlinsii;false;false;true;true
1330;Pinus cembra;787;Pinus sibirica;true;false;true;true
2618;Picea sitchensis;743;Picea ×lutzii;false;false;true;true
2765;Cerastium tomentosum;7341;Cerastium biebersteinii;true;true;true;true
883;Jacobaea alpina;1158;Jacobaea subalpina;true;true;true;true
2926;Cotoneaster dammeri;5509;Cotoneaster x suecicus;false;false;false;true
2918;Cotoneaster multiflorus;1314;Cotoneaster latifolius;false;false;false;true
2918;Cotoneaster multiflorus;5511;Cotoneaster przewalskii;false;false;false;true
2922;Cotoneaster horizontalis;2929;Cotoneaster ascendens;false;false;false;true
2922;Cotoneaster horizontalis;2166;Cotoneaster atropurpureus;false;false;false;true
2922;Cotoneaster horizontalis;2923;Cotoneaster hjelmqvistii;false;false;false;true
830;Populus balsamifera;2027;Populus ×jackii;true;true;true;true
1997;Pilosella caespitosa;1996;Pilosella colliniformi;true;true;true;true